date_block_num,Count,Percentage
11,143246,0.04879211865212139
23,130785,0.04454768187535914
2,121347,0.04133293231279738
0,115689,0.03940571754007282
1,108613,0.03699550691232467
7,104772,0.03568719444466206
6,100548,0.03424842540966939
5,100403,0.03419903584762537
12,99349,0.033840024824215734
10,96736,0.03294999085441558
8,96137,0.03274596087052339
9,94202,0.032086865680487686
3,94109,0.03205518823724566
14,92732,0.03158615770666211
4,91759,0.03125473671446327
13,89829,0.030597344612773913
24,88522,0.0301521573190392
19,86614,0.029502258806073756
22,86428,0.029438903919589705
17,82408,0.028069620889127928
21,79361,0.027031758850864982
18,78759,0.026826707013964984
16,78528,0.026748024332363823
15,77906,0.026536160142078442
20,73157,0.02491856683071949
25,71808,0.024459073594875477
26,69977,0.023835402642443753
31,57029,0.019425085060747457
27,56274,0.01916791872044929
30,55549,0.018920970910229193
29,54617,0.018603515242470392
28,54548,0.01858001262329082
33,53514,0.018227813953266576
32,50588,0.01723116665298519
