date,Count,Percentage
28.12.2013,9434,0.003213387091884682
29.12.2013,9335,0.003179665942627041
30.12.2014,9324,0.003175919148265081
30.12.2013,9138,0.0031125642617810287
31.12.2014,8346,0.002842795067719902
27.12.2014,8041,0.0027389066785928266
31.12.2013,7765,0.002644896201874555
23.02.2013,7577,0.0025808600800519645
28.12.2014,7370,0.0025103522225132613
21.12.2013,6773,0.0023070034739596087
02.01.2013,6718,0.0022882695021498086
29.12.2014,6505,0.0022157179385954903
22.02.2013,6437,0.0021925559370851917
22.02.2014,6433,0.002191193466408115
20.12.2014,6349,0.002162581582189511
03.01.2013,6298,0.0021452100810567865
27.12.2013,6211,0.0021155763438303753
02.01.2014,6194,0.0021097858434528005
08.03.2013,6124,0.0020859426066039636
22.12.2013,6070,0.0020675492524634322
23.03.2013,5885,0.0020045349836486487
02.01.2015,5740,0.0019551454216046294
16.03.2013,5721,0.0019486736858885165
16.02.2013,5689,0.0019377739204719054
09.02.2013,5684,0.0019360708321255599
21.12.2014,5644,0.001922446125354796
04.01.2013,5634,0.0019190399486621048
14.12.2013,5601,0.0019077995655762247
26.12.2013,5598,0.0019067777125684174
02.03.2013,5585,0.0019023496828679191
30.03.2013,5566,0.0018958779471518062
05.01.2013,5544,0.001888384358427886
03.01.2014,5445,0.0018546632091702452
09.03.2013,5397,0.0018383135610453283
03.01.2015,5377,0.0018315012076599464
26.12.2014,5353,0.001823326383597488
07.03.2013,5344,0.0018202608245740661
06.04.2013,5308,0.0018079985884803785
19.01.2013,5302,0.001805954882464764
26.01.2013,5245,0.0017865396753164254
24.02.2013,5233,0.001782452263285196
25.12.2013,5223,0.0017790460865925051
02.02.2013,5210,0.0017746180568920069
05.10.2013,5186,0.0017664432328295485
07.12.2013,5156,0.0017562247027514755
23.02.2014,5155,0.0017558840850822063
06.01.2013,5120,0.0017439624666577879
13.04.2013,5094,0.0017351064072567914
17.02.2013,5067,0.0017259097301865257
04.01.2014,5040,0.00171671305311626
16.11.2013,4941,0.0016829919038586192
13.12.2014,4939,0.0016823106685200809
04.01.2015,4914,0.0016737952267883536
19.10.2013,4899,0.001668685961749317
23.11.2013,4899,0.001668685961749317
07.09.2013,4879,0.001661873608363935
02.11.2013,4874,0.0016601705200175894
15.02.2014,4860,0.0016554018726478222
22.02.2015,4853,0.0016530175489629384
15.12.2013,4848,0.001651314460616593
08.03.2014,4835,0.0016468864309160947
03.03.2013,4810,0.0016383709891843671
30.11.2013,4809,0.0016380303715150982
21.09.2013,4806,0.0016370085185072908
28.09.2013,4803,0.0016359866654994835
05.01.2014,4775,0.0016264493707599486
04.10.2014,4757,0.001620318252713105
20.04.2013,4757,0.001620318252713105
12.10.2013,4747,0.001616912076020414
12.01.2013,4745,0.0016162308406818756
05.01.2015,4737,0.0016135058993277229
21.02.2015,4732,0.0016118028109813774
10.02.2013,4723,0.0016087372519579554
26.10.2013,4717,0.001606693545942341
01.02.2014,4691,0.0015978374865413443
22.03.2014,4687,0.001596475015864268
14.09.2013,4683,0.0015951125451871915
31.03.2013,4651,0.0015842127797705803
09.11.2013,4625,0.0015753567203695838
08.02.2014,4601,0.0015671818963071255
17.03.2013,4586,0.0015620726312680889
01.06.2013,4581,0.0015603695429217434
24.08.2013,4579,0.0015596883075832053
03.11.2013,4560,0.0015532165718670924
01.03.2014,4554,0.0015511728658514777
08.06.2013,4536,0.001545041747804634
07.03.2015,4534,0.0015443605124660959
06.12.2014,4525,0.001541294953442674
27.04.2013,4503,0.0015338013647187537
27.01.2013,4500,0.0015327795117109464
27.07.2013,4497,0.001531757658703139
25.01.2014,4473,0.0015235828346406807
20.01.2013,4459,0.0015188141872709132
31.08.2013,4457,0.001518132951932375
25.05.2013,4440,0.0015123424515548003
06.01.2014,4433,0.0015099581278699167
07.04.2013,4430,0.0015089362748621094
24.03.2013,4428,0.0015082550395235713
07.01.2013,4416,0.001504167627492342
08.12.2013,4409,0.0015017833038074584
10.03.2013,4387,0.0014942897150835382
22.06.2013,4385,0.001493608479745
03.02.2013,4369,0.0014881585970366944
21.02.2014,4368,0.0014878179793674253
05.04.2014,4360,0.0014850930380132725
03.08.2013,4359,0.0014847524203440033
20.12.2013,4321,0.0014718089489117777
22.11.2014,4305,0.0014663590662034722
08.01.2013,4302,0.0014653372131956648
20.07.2013,4273,0.0014554593007868608
01.09.2013,4267,0.0014534155947712464
09.03.2014,4255,0.001449328182740017
01.05.2013,4255,0.001449328182740017
06.10.2013,4243,0.001445240770708788
29.11.2014,4230,0.0014408127410082895
19.12.2014,4219,0.0014370659466463294
25.12.2014,4213,0.001435022240630715
25.08.2013,4203,0.0014316160639380239
29.03.2014,4200,0.0014305942109302165
11.01.2014,4191,0.0014275286519067948
17.08.2013,4185,0.0014254849458911801
15.11.2014,4180,0.0014237818575448347
24.12.2013,4177,0.0014227600045370273
31.05.2014,4152,0.0014142445628052998
14.02.2015,4132,0.001407432209419918
07.03.2014,4130,0.0014067509740813796
21.02.2013,4130,0.0014067509740813796
17.11.2013,4111,0.001400279238365267
28.04.2013,4093,0.001394148120318423
16.02.2014,4085,0.0013914231789642702
23.02.2015,4085,0.0013914231789642702
15.09.2013,4079,0.0013893794729486555
18.01.2014,4073,0.0013873357669330411
15.06.2013,4073,0.0013873357669330411
13.07.2013,4071,0.0013866545315945028
10.11.2013,4067,0.0013852920609174265
01.11.2014,4063,0.00138392959024035
12.04.2014,4059,0.0013825671195632737
24.11.2013,4055,0.0013812046488861972
27.10.2013,4055,0.0013812046488861972
14.12.2014,4051,0.001379842178209121
18.05.2013,4049,0.0013791609428705828
30.08.2014,4033,0.001373711060162277
08.09.2013,4030,0.0013726892071544699
13.01.2013,4027,0.0013716673541466625
12.06.2013,4018,0.0013686017951232406
07.01.2014,4008,0.0013651956184305496
05.10.2014,4005,0.0013641737654227423
01.12.2013,3998,0.0013617894417378585
15.03.2014,3996,0.0013611082063993204
24.12.2014,3995,0.0013607675887300514
06.01.2015,3989,0.0013587238827144368
21.04.2013,3987,0.0013580426473758986
18.10.2014,3986,0.0013577020297066294
26.05.2013,3973,0.0013532740000061312
13.10.2013,3970,0.0013522521469983239
23.12.2013,3959,0.0013485053526363637
29.06.2013,3958,0.0013481647349670946
23.12.2014,3944,0.0013433960875973271
26.04.2014,3935,0.0013403305285739054
21.07.2013,3935,0.0013403305285739054
14.04.2013,3930,0.00133862744022756
29.09.2013,3923,0.001336243116542676
12.06.2014,3903,0.0013294307631572942
20.10.2013,3894,0.0013263652041338723
10.08.2013,3871,0.001318530997740683
08.11.2014,3867,0.0013171685270636066
22.09.2013,3862,0.0013154654387172611
07.07.2013,3842,0.001308653085331879
09.02.2014,3831,0.001304906290969919
11.10.2014,3822,0.0013018407319464972
07.12.2014,3798,0.0012936659078840388
17.01.2015,3797,0.0012933252902147697
28.06.2014,3795,0.0012926440548762315
02.02.2014,3793,0.0012919628195376934
29.03.2013,3788,0.0012902597311913477
23.03.2014,3780,0.001287534789837195
15.03.2013,3779,0.001287194172167926
22.03.2013,3774,0.0012854910838215805
09.06.2013,3766,0.0012827661424674277
08.02.2013,3765,0.0012824255247981585
08.01.2014,3756,0.0012793599657747365
15.02.2013,3748,0.0012766350244205838
02.05.2013,3744,0.0012752725537435075
23.06.2013,3730,0.00127050390637374
21.06.2014,3728,0.001269822671035202
02.11.2014,3713,0.0012647134059961653
27.09.2014,3708,0.0012630103176498198
30.08.2013,3707,0.0012626696999805506
14.07.2013,3688,0.0012561979642644377
07.06.2013,3685,0.0012551761112566306
21.06.2013,3679,0.001253132405241016
19.01.2014,3671,0.0012504074638868632
19.12.2013,3664,0.0012480231402019794
02.06.2013,3658,0.001245979434186365
19.04.2014,3650,0.0012432544928322122
04.08.2013,3646,0.0012418920221551357
22.12.2014,3643,0.0012408701691473283
07.01.2015,3638,0.0012391670808009829
16.11.2014,3635,0.0012381452277931756
28.07.2013,3633,0.0012374639924546374
23.11.2014,3627,0.0012354202864390228
06.03.2013,3620,0.0012330359627541392
02.08.2013,3613,0.0012306516390692553
04.11.2013,3612,0.0012303110213999864
14.06.2013,3606,0.0012282673153843717
26.01.2014,3595,0.0012245205210224116
16.06.2013,3589,0.001222476815006797
25.10.2014,3588,0.001222136197337528
18.08.2013,3587,0.0012217955796682588
08.01.2015,3586,0.0012214549619989897
27.04.2014,3582,0.0012200924913219134
24.01.2015,3581,0.0012197518736526442
23.08.2014,3576,0.0012180487853062987
01.06.2014,3576,0.0012180487853062987
20.02.2013,3572,0.0012166863146292224
14.02.2013,3555,0.0012108958142516477
13.09.2014,3555,0.0012108958142516477
07.06.2014,3554,0.0012105551965823785
06.07.2013,3549,0.001208852108236033
17.05.2014,3541,0.0012061271668818803
31.01.2015,3536,0.0012044240785355348
12.07.2013,3534,0.0012037428431969966
30.06.2013,3531,0.0012027209901891893
13.12.2013,3525,0.0012006772841735747
16.03.2014,3517,0.001197952342819422
25.01.2013,3513,0.0011965898721423454
19.05.2013,3510,0.0011955680191345383
30.11.2014,3498,0.001191480607103309
01.03.2013,3491,0.0011890962834184254
14.02.2014,3489,0.001188415048079887
06.12.2013,3484,0.0011867119597335416
28.02.2015,3483,0.0011863713420642726
03.10.2014,3476,0.0011839870183793888
30.03.2014,3473,0.0011829651653715815
11.01.2013,3467,0.0011809214593559668
16.08.2014,3466,0.0011805808416866979
18.12.2014,3460,0.0011785371356710832
02.03.2014,3450,0.0011751309589783923
13.04.2014,3448,0.0011744497236398541
24.05.2014,3444,0.0011730872529627776
03.11.2014,3443,0.0011727466352935085
12.07.2014,3439,0.0011713841646164322
20.09.2013,3438,0.001171043546947163
23.08.2013,3435,0.0011700216939393557
03.05.2013,3432,0.0011689998409315483
08.03.2015,3427,0.0011672967525852029
06.09.2014,3424,0.0011662748995773956
12.04.2013,3423,0.0011659342819081266
20.09.2014,3417,0.001163890575892512
06.04.2014,3414,0.0011628687228847046
18.12.2013,3400,0.0011581000755149372
05.04.2013,3395,0.0011563969871685917
04.10.2013,3386,0.00115333142814517
31.08.2014,3385,0.0011529908104759008
12.10.2014,3382,0.0011519689574680935
08.11.2013,3377,0.001150265869121748
16.08.2013,3376,0.0011499252514524788
14.09.2014,3373,0.0011489033984446715
12.12.2014,3363,0.0011454972217519806
01.02.2013,3356,0.001143112898067097
11.08.2013,3349,0.0011407285743822132
24.05.2013,3347,0.001140047339043675
20.02.2015,3346,0.0011397067213744058
18.01.2013,3339,0.0011373223976895222
31.05.2013,3332,0.0011349380740046386
19.02.2013,3330,0.0011342568386661003
14.03.2015,3330,0.0011342568386661003
11.10.2013,3328,0.0011335756033275621
13.02.2013,3328,0.0011335756033275621
12.01.2014,3326,0.001132894367989024
07.02.2015,3322,0.0011315318973119475
30.04.2013,3321,0.0011311912796426785
19.10.2014,3321,0.0011311912796426785
22.11.2013,3301,0.0011243789262572964
20.06.2013,3293,0.0011216539849031436
09.08.2013,3292,0.0011213133672338745
17.08.2014,3277,0.001116204102194838
06.09.2013,3270,0.0011138197785099545
28.08.2013,3270,0.0011138197785099545
15.11.2013,3269,0.0011134791608406853
01.11.2013,3267,0.0011127979255021471
26.10.2014,3262,0.0011110948371558017
28.03.2013,3259,0.0011100729841479944
09.01.2015,3258,0.0011097323664787252
28.03.2015,3258,0.0011097323664787252
26.07.2013,3256,0.001109051131140187
19.07.2013,3247,0.001105985572116765
30.05.2014,3246,0.001105644954447496
17.12.2013,3237,0.0011025793954240741
13.09.2013,3234,0.0011015575424162668
13.06.2014,3233,0.0011012169247469976
22.08.2013,3228,0.0010995138364006522
26.04.2013,3222,0.0010974701303850375
29.11.2013,3221,0.0010971295127157686
21.11.2014,3215,0.001095085806700154
04.05.2013,3212,0.0010940639536923466
29.08.2013,3209,0.0010930421006845393
05.07.2014,3205,0.001091679630007463
08.08.2013,3197,0.0010889546886533102
05.03.2013,3195,0.0010882734533147718
21.03.2014,3194,0.0010879328356455029
21.03.2015,3193,0.0010875922179762337
19.07.2014,3193,0.0010875922179762337
10.01.2015,3182,0.0010838454236142736
17.12.2014,3169,0.0010794173939137753
05.07.2013,3156,0.001074989364213277
04.04.2015,3144,0.0010709019521820478
17.07.2013,3142,0.0010702207168435097
27.03.2013,3136,0.001068177010827895
11.05.2013,3135,0.001067836393158626
01.05.2014,3132,0.0010668145401508187
15.08.2013,3129,0.0010657926871430114
16.07.2013,3115,0.001061024039773244
28.06.2013,3111,0.0010596615690961677
10.03.2014,3108,0.0010586397160883604
08.05.2013,3108,0.0010586397160883604
10.05.2013,3100,0.0010559147747342076
11.06.2013,3099,0.0010555741570649384
17.05.2013,3099,0.0010555741570649384
24.08.2014,3098,0.0010552335393956692
20.02.2014,3098,0.0010552335393956692
31.01.2014,3097,0.0010548929217264003
26.07.2014,3096,0.001054552304057131
09.08.2014,3087,0.0010514867450337091
